source,station_name,line_name,passenger_flow,latitude,longitude
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,4233331,55.54501919,37.54165112
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Бунинская аллея,Бутовская линия Лёгкого метро,9277449,55.53771224,37.51502684
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Лесопарковая,Бутовская линия Лёгкого метро,4132446,55.58165301,37.57787389
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Улица Горчакова,Бутовская линия Лёгкого метро,4488064,55.5421479,37.53211855
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Улица Скобелевская,Бутовская линия Лёгкого метро,9125076,55.54771512,37.55316917
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Автозаводская,Замоскворецкая линия,18997689,55.7063725,37.65719525
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Алма-Атинская,Замоскворецкая линия,15661320,55.6321556,37.76686636
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Аэропорт,Замоскворецкая линия,16724360,55.80001663,37.53442839
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Беломорская,Замоскворецкая линия,13274846,55.86523308,37.4751228
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Белорусская,Замоскворецкая линия,13888742,55.77726212,37.58218133
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Водный стадион,Замоскворецкая линия,20049980,55.84057845,37.48629632
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Войковская,Замоскворецкая линия,22411361,55.81964397,37.49684637
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Динамо,Замоскворецкая линия,13980938,55.79052974,37.55648577
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Домодедовская,Замоскворецкая линия,29873340,55.61003654,37.71824508
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Кантемировская,Замоскворецкая линия,15525222,55.63644039,37.65551456
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Каширская,Замоскворецкая линия,0,55.65563863,37.6495506
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Коломенская,Замоскворецкая линия,19957736,55.67674543,37.66276375
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Красногвардейская,Замоскворецкая линия,9245536,55.61399466,37.74224379
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Маяковская,Замоскворецкая линия,17785880,55.77114729,37.59457077
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Новокузнецкая,Замоскворецкая линия,15222223,55.7422711,37.62919995
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Орехово,Замоскворецкая линия,8753652,55.61421356,37.69409881
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Павелецкая,Замоскворецкая линия,14886996,55.72994575,37.63942244
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Речной вокзал,Замоскворецкая линия,12740994,55.85577204,37.47572581
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Сокол,Замоскворецкая линия,17432660,55.80553739,37.51511112
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Тверская,Замоскворецкая линия,0,55.76566343,37.60405014
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Технопарк,Замоскворецкая линия,12113328,55.69481001,37.66401571
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Ховрино,Замоскворецкая линия,22171135,55.87736255,37.48235581
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Царицыно,Замоскворецкая линия,25433443,55.62151899,37.67068429
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Авиамоторная,Калининская линия,14323464,55.7523253,37.71709874
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Марксистская,Калининская линия,10804136,55.74108041,37.65676311
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Новогиреево,Калининская линия,30043616,55.75214727,37.81528665
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Новокосино,Калининская линия,25810500,55.74547275,37.86180038
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Перово,Калининская линия,17864824,55.75113144,37.78503716
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Площадь Ильича,Калининская линия,9331024,55.74731767,37.68084697
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Третьяковская,Калининская линия,15373178,55.74075073,37.6256243
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Шоссе Энтузиастов,Калининская линия,10146628,55.7585329,37.75167778
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Академическая,Калужско-Рижская линия,15897296,55.68721885,37.57239071
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Алексеевская,Калужско-Рижская линия,15398714,55.80794887,37.63862334
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Бабушкинская,Калужско-Рижская линия,23075208,55.86878392,37.6633828
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Беляево,Калужско-Рижская линия,16125312,55.64186175,37.52538305
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Ботанический сад,Калужско-Рижская линия,12141162,55.84633597,37.63881949
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,ВДНХ,Калужско-Рижская линия,35503085,55.82028,37.63995318
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Калужская,Калужско-Рижская линия,12159672,55.65658806,37.53941893
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Китай-город,Калужско-Рижская линия,31327024,55.75699088,37.63079068
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Коньково,Калужско-Рижская линия,12976970,55.63182049,37.51913612
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Ленинский проспект,Калужско-Рижская линия,18368174,55.70691006,37.58505468
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Медведково,Калужско-Рижская линия,26074734,55.88600671,37.66127198
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Новоясеневская,Калужско-Рижская линия,3192756,55.6019926,37.5528887
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Новые Черёмушки,Калужско-Рижская линия,16085608,55.66967209,37.55361304
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Октябрьская,Калужско-Рижская линия,6315276,55.73133028,37.61260714
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Проспект Мира,Калужско-Рижская линия,10762919,55.78180094,37.6333264
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Профсоюзная,Калужско-Рижская линия,14888160,55.67727997,37.56180747
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Рижская,Калужско-Рижская линия,5817248,55.79238898,37.63600539
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Свиблово,Калужско-Рижская линия,11540440,55.85435444,37.65136751
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Сухаревская,Калужско-Рижская линия,10222428,55.7729659,37.63283288
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Тургеневская,Калужско-Рижская линия,10855746,55.76571723,37.63748615
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Тёплый стан,Калужско-Рижская линия,25809570,55.61757608,37.50877815
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Шаболовская,Калужско-Рижская линия,11998982,55.7188014,37.60815418
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Ясенево,Калужско-Рижская линия,14850512,55.60611329,37.53513415
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Белорусская,Кольцевая линия,22232400,55.77538368,37.58271687
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Добрынинская,Кольцевая линия,10172461,55.72899503,37.62282827
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Киевская,Кольцевая линия,17313800,55.74382148,37.56718836
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Комсомольская,Кольцевая линия,41853175,55.77624657,37.65631146
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Краснопресненская,Кольцевая линия,10736297,55.76041894,37.57702497
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Курская,Кольцевая линия,22073694,55.75788581,37.6602386
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Новослободская,Кольцевая линия,14873169,55.7794912,37.6011113
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Октябрьская,Кольцевая линия,13100154,55.72924586,37.61149707
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Павелецкая,Кольцевая линия,26280122,55.73143729,37.63609491
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Парк культуры,Кольцевая линия,17733486,55.735136,37.5933465
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Проспект Мира,Кольцевая линия,11361865,55.77959625,37.63352421
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Таганская,Кольцевая линия,12633092,55.74236743,37.65363339
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Борисово,Люблинско-Дмитровская линия,5330834,55.63232443,37.74346662
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Братиславская,Люблинско-Дмитровская линия,18110628,55.65926983,37.74974381
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Бутырская,Люблинско-Дмитровская линия,8192404,55.81407936,37.60188072
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Верхние Лихоборы,Люблинско-Дмитровская линия,6938220,55.85451688,37.56124892
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Волжская,Люблинско-Дмитровская линия,7371684,55.69072305,37.75529438
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Достоевская,Люблинско-Дмитровская линия,6549246,55.78160608,37.61392105
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Дубровка,Люблинско-Дмитровская линия,7823247,55.71782617,37.67616329
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Зябликово,Люблинско-Дмитровская линия,5220300,55.61107923,37.74486894
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Кожуховская,Люблинско-Дмитровская линия,10262440,55.70634018,37.6855425
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Крестьянская застава,Люблинско-Дмитровская линия,3941242,55.73234833,37.66548428
