name,lat,lon,district,addr,avg_comp_rating,dist_metro,stops_cnt,c300,c1k,pop_dens,income,office_dens,avg_rent,avail_space
Пицца всем,55.6550633,37.5833136,CAO,,,470.6419538298759,9,3,33,12500,110000,0,45000,342
Habbat,55.6537238,37.57787,CAO,,,189.21172632327998,11,2,28,12500,110000,0,45000,342
#ВоблакеВкуса,55.747225,37.6752849,CAO,,,240.5138200305938,19,19,84,12500,110000,0,45000,342
Штолле,55.7191772,37.6087593,CAO,,,59.90564608465127,0,21,97,12500,110000,1,45000,342
Lalaland,55.7204673,37.6101333,CAO,,,161.73473975473206,3,27,102,12500,110000,1,45000,342
Öz kebab,55.761013,37.6502668,CAO,,,601.4313505029048,9,38,345,12500,110000,0,45000,342
Дети лапши,55.7222886,37.6517887,CAO,,,1106.6298210928908,9,16,80,12500,110000,0,45000,342
Корн-дог кафе,55.6856547,37.5812636,CAO,,,264.3867899255881,12,7,58,12500,110000,1,45000,342
Ням-Ням,55.7623559,37.6820384,CAO,,,1127.15393604017,13,12,56,12500,110000,0,45000,342
Ориентал Экспресс,55.7423797,37.5305052,CAO,,,298.9668045670115,7,23,155,12500,110000,0,45000,342
Кофейня на Остоженке,55.7418432,37.5989498,CAO,,,383.023607028034,14,13,186,12500,110000,0,45000,342
Сытый лосось,55.6413123,37.5324233,UZAO,,,401.4148179137993,12,18,53,10500,98000,0,29000,165
DNA,55.7567525,37.6750758,CAO,,,909.7756856107568,4,9,100,12500,110000,0,45000,342
Лицей,55.7602281,37.6514063,CAO,,,500.8817106400526,11,39,325,12500,110000,0,45000,342
Антистресс,55.6916854,37.622399,CAO,,,322.37913398660044,8,7,41,12500,110000,0,45000,342
Surf coffee,55.6964247,37.6252314,CAO,,,833.1089395796585,9,6,59,12500,110000,0,45000,342
,55.6345806,37.5194916,UZAO,,,22.823892530521615,11,12,41,10500,98000,1,29000,165
Soul in the bowl,55.7425158,37.5307745,CAO,,,295.25642423477007,7,22,159,12500,110000,0,45000,342
Поколение кофе,55.7424448,37.5309967,CAO,,,279.5876723694842,7,22,160,12500,110000,0,45000,342
Кофемания Bez Tarelok,55.7615589,37.6326537,CAO,,,314.204636559984,9,52,477,12500,110000,2,45000,342
Пиццан,55.7745636,37.5205019,SAO,,,251.86899753508098,18,2,43,9800,95000,0,28000,187
Пиццан,55.6679346,37.5902074,CAO,,,1094.9994960945219,9,1,12,12500,110000,0,45000,342
Space,55.7426273,37.531484,CAO,,,272.4728543249547,7,21,161,12500,110000,0,45000,342
Практика кофе,55.7240642,37.5787032,CAO,,,313.89600648767674,8,9,102,12500,110000,0,45000,342
ГоТай,55.7462594,37.5883712,CAO,,,340.88295355920366,5,23,246,12500,110000,0,45000,342
Uglewood,55.7478883,37.6771161,CAO,,,193.80294071054283,17,16,76,12500,110000,0,45000,342
Таксим,55.7604273,37.6151855,CAO,,,239.55163515647746,10,57,453,12500,110000,1,45000,342
Старик и море,55.7745959,37.5846799,CAO,,,145.26279185703697,20,69,328,12500,110000,0,45000,342
Ложе4ка,55.7508344,37.6433832,CAO,,,592.2591682515963,14,11,225,12500,110000,2,45000,342
Yauza,55.7515198,37.6447648,CAO,,,633.1608922380974,12,12,234,12500,110000,2,45000,342
